DateTime,true_ivix,calculated_ivix
2015/12/29,27.28,22.293848586284945
2015/12/30,27.46,22.189876246943168
2015/12/31,27.95,19.852068124587852
2016/1/4,33.44,25.91140858212333
2016/1/5,32.18,29.06738710852069
2016/1/6,31.51,28.456715929546505
2016/1/7,23.33,22.077891503495152
2016/1/8,35.22,32.011914021538715
2016/1/11,33.81,29.844600507776125
2016/1/12,35.91,32.42306937922022
2016/1/13,34.72,31.18079525425181
2016/1/14,37.8,34.28186845969942
2016/1/15,35.49,31.606223292032197
2016/1/18,37.24,33.7707619609796
2016/1/19,37.35,33.8559825327986
2016/1/20,36.81,33.230823059554
2016/1/21,35.12,31.231956656455512
2016/1/22,34.87,31.54292569394532
2016/1/25,34.74,31.220453253868197
2016/1/26,32.02,25.952288600149558
2016/1/27,38.46,34.95724596117961
2016/1/28,37.67,42.5021103996175
2016/1/29,38.95,41.74787796857967
2016/2/1,36.37,32.880572653276396
2016/2/2,35.14,31.799266594560034
2016/2/3,34.8,31.469669046275488
2016/2/4,34.52,31.179767562985678
2016/2/5,35.38,31.98186943477996
2016/2/15,37.39,34.008063839417815
2016/2/16,36.65,33.31178043265255
2016/2/17,35.5,32.38167944025766
2016/2/18,33.79,30.662797603937747
2016/2/19,32.22,29.177972179490187
2016/2/22,31.44,28.310479196331777
2016/2/23,32.38,29.386011222139917
2016/2/24,32.48,29.40374208004076
2016/2/25,33.85,26.144160945060808
2016/2/26,32.53,20.935956634341586
2016/2/29,32.63,21.79036924989909
2016/3/1,31.51,28.120780337485996
2016/3/2,33.15,29.361915257843236
2016/3/3,33.12,29.876950641298965
2016/3/4,33.01,29.703754534899176
2016/3/7,33.82,30.73307611876489
2016/3/8,33.42,30.33949291082897
2016/3/9,33.47,30.30638324009418
2016/3/10,33.64,30.39631606770247
2016/3/11,33.64,30.344724683949458
2016/3/14,33.28,29.96777890819121
2016/3/15,32.64,29.506997052736523
2016/3/16,31.89,28.839242013416854
2016/3/17,31.25,28.306529346590754
2016/3/18,31.16,28.478044907282417
2016/3/21,31.56,28.694028286759615
2016/3/22,33.11,30.28093837996137
2016/3/23,34.04,31.273602756425454
2016/3/24,32.9,31.660925762925423
2016/3/25,30.98,28.986743049311603
2016/3/28,31.1,25.162843102036188
2016/3/29,31.21,16.684090795429423
2016/3/30,30.87,17.245800440685237
2016/3/31,30.96,15.045190488554598
2016/4/1,30.5,27.296766386188782
2016/4/5,30.19,26.849548987966138
2016/4/6,29.96,26.824656735993983
2016/4/7,28.8,25.63294389793256
2016/4/8,27.66,24.5368703293813
2016/4/11,27.63,24.226911143046202
2016/4/12,26.65,23.501788241817152
2016/4/13,26.5,23.36941157340901
2016/4/14,26.06,22.82478865040493
2016/4/15,26.05,22.851259476001363
2016/4/18,26.19,23.057346654815085
2016/4/19,25.49,22.393438513077207
2016/4/20,25.62,22.529753498522478
2016/4/21,25.05,21.982521364712834
2016/4/22,24.52,21.520978445810595
2016/4/25,25.16,22.07715982582368
2016/4/26,25.53,22.33147898827315
2016/4/27,25.47,22.437102941301767
2016/4/28,24.4,27.12318426046202
2016/4/29,23.58,25.54342192553365
2016/5/3,23.41,20.587676183963808
2016/5/4,22.86,20.045713423181816
2016/5/5,22.53,19.738920579234968
2016/5/6,23.49,20.44996310899382
2016/5/9,26.11,23.11622503285252
2016/5/10,24.89,21.97576872285978
2016/5/11,23.47,20.610847194988576
2016/5/12,23.45,20.68306365249285
2016/5/13,22.79,20.02380735684421
2016/5/16,22.5,19.742187435369157
2016/5/17,22.03,19.29665028237569
2016/5/18,22.13,19.336929406725435
2016/5/19,21.42,18.596714016252548
2016/5/20,20.54,17.807195490853506
2016/5/23,19.82,17.05725788891473
2016/5/24,19.64,16.786846882325666
2016/5/25,20.28,17.522044821203767
2016/5/26,18.9,4.263164722077815
2016/5/27,18.37,3.2913447534595694
2016/5/30,18.57,8.635687353164645
2016/5/31,21.51,11.774707859478507
2016/6/1,20.86,18.155775162621666
2016/6/2,20.69,17.890613752428237
2016/6/3,20.79,17.991558651853676
2016/6/6,20.88,18.14354783758233
2016/6/7,20.67,17.96822806118049
2016/6/8,21.01,18.249586036476646
2016/6/13,23.06,19.50530232308231
2016/6/14,21.88,18.97668660795032
2016/6/15,19.7,16.92065351948773
2016/6/16,19.34,16.576224065344032
2016/6/17,18.49,15.970735680896317
2016/6/20,19.33,16.77882251337089
2016/6/21,19.24,16.622283867797403
2016/6/22,19.84,16.804823864519985
2016/6/23,20.34,18.017117223532043
2016/6/24,20.71,18.196841908279353
2016/6/27,20.43,9.192986483239448
2016/6/28,19.67,15.100071527205582
2016/6/29,19.23,5.226759159183029
2016/6/30,18.58,8.651340381941138
2016/7/1,18.21,15.444842411019005
2016/7/4,18.27,15.34533675007399
2016/7/5,18.64,15.86180055292012
2016/7/6,18.65,15.83751317660395
2016/7/7,19.3,16.46917426129449
2016/7/8,19.3,16.446378681442116
2016/7/11,19.0,16.225946015476463
2016/7/12,18.91,15.892269555047168
2016/7/13,19.69,17.005755152132476
2016/7/14,19.49,16.76798479443267
2016/7/15,19.55,16.88406786859783
2016/7/18,20.31,17.60198705357897
2016/7/19,20.4,17.544823575329076
2016/7/20,20.22,17.51375400184509
2016/7/21,20.27,17.5488412135981
2016/7/22,20.0,17.29946276919544
2016/7/25,19.87,17.1122595712954
2016/7/26,19.46,16.492333481187135
2016/7/27,20.32,17.280271981207424
2016/7/28,18.89,17.73446739602837
2016/7/29,18.75,17.838583828248606
2016/8/1,18.76,16.107241253714253
2016/8/2,18.29,15.612474825565132
2016/8/3,17.84,15.218376625292656
2016/8/4,17.45,14.855807036489853
2016/8/5,17.11,14.58987549450568
2016/8/8,17.01,14.492539740344132
2016/8/9,16.64,14.057318374237779
2016/8/10,16.65,14.094108293249105
2016/8/11,16.8,14.225554158438367
2016/8/12,17.69,14.249783194538782
2016/8/15,20.19,16.433526268362154
2016/8/16,19.36,16.633738043229094
2016/8/17,19.34,16.82904314403717
2016/8/18,19.48,16.949915631391082
2016/8/19,19.45,17.112928755879864
2016/8/22,19.73,17.41291148861922
2016/8/23,19.42,17.04274530519781
2016/8/24,19.47,17.15311637028606
2016/8/25,19.71,17.869359554025586
2016/8/26,19.6,17.487747799902678
2016/8/29,20.12,12.476429446731432
2016/8/30,20.1,13.004993332007347
2016/8/31,20.47,13.384622123752573
2016/9/1,20.53,17.715078271441932
2016/9/2,20.38,17.675478498432767
2016/9/5,20.34,17.565934059385118
2016/9/6,20.14,17.365081579576493
2016/9/7,20.12,17.394447034565914
2016/9/8,19.66,16.961353177220097
2016/9/9,18.6,15.923663462734252
2016/9/12,19.31,16.143968974157982
2016/9/13,17.55,14.936318109031758
2016/9/14,17.63,14.923015210106866
2016/9/19,17.45,14.767653937869385
2016/9/20,17.06,14.372820945391076
2016/9/21,17.35,14.664189662937794
2016/9/22,16.26,13.678399834425273
2016/9/23,15.81,13.313523515957712
2016/9/26,16.3,13.500203232138968
2016/9/27,16.5,13.596747972133752
2016/9/28,16.59,13.864991861601997
2016/9/29,15.44,4.36154522894949
2016/9/30,16.31,8.61381604595756
2016/10/10,16.78,14.1039706694018
2016/10/11,16.13,13.454015706840378
2016/10/12,16.08,13.459179283986538
2016/10/13,15.78,13.167273580892184
2016/10/14,15.21,12.594603191623655
2016/10/17,14.88,12.380553161116545
2016/10/18,15.24,12.466561017931177
2016/10/19,15.64,12.975752336254489
2016/10/20,15.19,12.581519586448788
2016/10/21,14.97,12.528614949026046
2016/10/24,15.91,13.25199480965111
2016/10/25,16.14,13.485690960139737
2016/10/26,16.37,13.797539687860006
2016/10/27,15.97,15.5096845100165
2016/10/28,16.11,15.232927337555214
2016/10/31,16.11,14.17547872882992
2016/11/1,16.35,13.807853791267299
2016/11/2,16.68,14.21335703197045
2016/11/3,17.74,15.07229590381273
2016/11/4,17.86,15.174526064101846
2016/11/7,19.01,16.303271364169774
2016/11/8,18.59,16.043274697358388
2016/11/9,18.37,15.640716156837845
2016/11/10,17.03,14.206138058073353
2016/11/11,16.27,13.843483696689582
2016/11/14,17.0,14.456557587106925
2016/11/15,16.92,14.428402647715249
2016/11/16,16.6,14.147754980851984
2016/11/17,16.24,13.76909312560684
2016/11/18,15.87,13.602470450761201
2016/11/21,15.65,13.248113038980128
2016/11/22,16.14,13.923682390543068
2016/11/23,16.35,14.021979342396977
2016/11/24,16.13,14.102939772444184
2016/11/25,16.03,13.825411324879314
2016/11/28,15.62,12.027903540380306
2016/11/29,14.86,12.093791970135324
2016/11/30,16.39,14.92974142234674
2016/12/1,15.83,15.840066594097662
2016/12/2,16.22,16.197353872763358
2016/12/5,16.32,16.336411090793117
2016/12/6,15.67,15.386327134252445
2016/12/7,15.15,14.860546288067237
2016/12/8,14.15,13.858268188211435
2016/12/9,14.55,14.383562856454787
2016/12/12,15.44,15.097235933867728
2016/12/13,15.43,15.051876979142367
2016/12/14,15.85,15.372848706362971
2016/12/15,17.17,15.918167222927968
2016/12/16,16.48,16.46861096504336
2016/12/19,16.97,15.900633530804475
2016/12/20,18.42,17.45473396170486
2016/12/21,17.38,16.329406439366693
2016/12/22,17.66,16.555001771986912
2016/12/23,17.51,16.532954697542753
2016/12/26,17.63,16.584710661735038
